Day Index,Users,Pageviews
2014-19-02,481,1508
2014-20-02,425,1141
2014-21-02,373,1039
2014-22-02,189,514
2014-23-02,194,541
2014-24-02,394,1313
2014-25-02,411,1371
2014-26-02,437,1383
2014-27-02,388,1078
2014-28-02,333,977
2014-01-03,180,606
2014-02-03,188,560
2014-03-03,380,1236
2014-04-03,364,1103
2014-05-03,373,1051
2014-06-03,345,1046
2014-07-03,278,781
2014-08-03,171,434
2014-09-03,177,484
2014-10-03,355,984
2014-11-03,365,1186
2014-12-03,349,1221
2014-13-03,344,1097
2014-14-03,293,712
2014-15-03,161,429
2014-16-03,245,638
2014-17-03,359,917
2014-18-03,352,1152
2014-19-03,362,947
2014-20-03,318,759
2014-21-03,345,822
2014-22-03,217,492
2014-23-03,300,613
2014-24-03,488,1200
2014-25-03,415,1118
2014-26-03,558,1555
2014-27-03,958,2320
2014-28-03,504,1205
2014-29-03,211,523
2014-30-03,271,635
2014-31-03,587,1600
2014-01-04,507,1099
2014-02-04,461,1255
2014-03-04,449,1020
2014-04-04,408,1031
2014-05-04,188,427
2014-06-04,200,424
2014-07-04,423,1191
2014-08-04,408,1056
2014-09-04,479,1271
2014-10-04,427,1095
2014-11-04,337,870
2014-12-04,173,529
2014-13-04,190,492
2014-14-04,406,1125
2014-15-04,465,1103
2014-16-04,401,1174
2014-17-04,430,1362
2014-18-04,339,838
2014-19-04,154,374
2014-20-04,148,388
2014-21-04,176,392
2014-22-04,351,1096
2014-23-04,363,1036
2014-24-04,315,962
2014-25-04,354,964
2014-26-04,152,402
2014-27-04,240,471
2014-28-04,396,902
2014-29-04,389,1158
2014-30-04,411,1369
2014-01-05,213,646
2014-02-05,305,764
2014-03-05,162,412
2014-04-05,163,514
2014-05-05,390,1163
2014-06-05,420,1155
2014-07-05,350,1182
2014-08-05,186,398
2014-09-05,255,653
2014-10-05,159,389
2014-11-05,181,428
2014-12-05,408,1754
2014-13-05,466,1566
2014-14-05,433,1209
2014-15-05,898,1828
2014-16-05,615,1469
2014-17-05,179,356
2014-18-05,160,359
2014-19-05,447,1123
2014-20-05,519,1295
2014-21-05,617,1579
2014-22-05,450,1383
2014-23-05,341,899
2014-24-05,145,307
2014-25-05,156,465
2014-26-05,419,1295
2014-27-05,419,1310
2014-28-05,353,844
2014-29-05,226,854
2014-30-05,285,861
2014-31-05,154,505
2014-01-06,185,660
2014-02-06,477,2462
2014-03-06,487,2456
2014-04-06,483,1477
2014-05-06,485,1519
2014-06-06,415,1300
2014-07-06,167,516
2014-08-06,125,295
2014-09-06,224,1223
2014-10-06,449,1495
2014-11-06,441,1179
2014-12-06,721,1543
2014-13-06,460,1204
2014-14-06,186,587
2014-15-06,209,604
2014-16-06,430,1297
2014-17-06,475,1550
2014-18-06,510,1547
2014-19-06,474,1344
2014-20-06,453,1239
2014-21-06,159,394
2014-22-06,199,564
2014-23-06,427,1194
2014-24-06,415,1221
2014-25-06,390,1071
2014-26-06,391,964
2014-27-06,354,1024
2014-28-06,188,478
2014-29-06,168,531
2014-30-06,388,1156
2014-01-07,358,1114
2014-02-07,421,1441
2014-03-07,363,1079
2014-04-07,343,1041
2014-05-07,147,331
2014-06-07,160,467
2014-07-07,808,2306
2014-08-07,530,1384
2014-09-07,435,1257
2014-10-07,393,1181
2014-11-07,358,954
2014-12-07,151,548
2014-13-07,144,368
2014-14-07,153,629
2014-15-07,362,1471
2014-16-07,385,1636
2014-17-07,400,1531
2014-18-07,261,833
2014-19-07,160,450
2014-20-07,152,387
2014-21-07,361,1040
2014-22-07,359,825
2014-23-07,347,928
2014-24-07,535,1613
2014-25-07,402,1117
2014-26-07,200,515
2014-27-07,175,453
2014-28-07,384,1016
2014-29-07,384,1053
2014-30-07,376,1246
2014-31-07,292,921
2014-01-08,249,725
2014-02-08,167,515
2014-03-08,305,1397
2014-04-08,377,1659
2014-05-08,391,1972
2014-06-08,433,1935
2014-07-08,336,1401
2014-08-08,259,963
2014-09-08,152,586
2014-10-08,144,504
2014-11-08,267,863
2014-12-08,267,929
2014-13-08,250,831
2014-14-08,224,511
2014-15-08,138,399
2014-16-08,110,319
2014-17-08,125,364
2014-18-08,272,975
2014-19-08,292,761
2014-20-08,294,856
2014-21-08,461,1123
2014-22-08,303,958
2014-23-08,182,459
2014-24-08,149,312
2014-25-08,376,1188
2014-26-08,429,1196
2014-27-08,408,1227
2014-28-08,375,980
2014-29-08,316,904
2014-30-08,184,556
2014-31-08,180,417
2014-01-09,385,1158
2014-02-09,422,1234
2014-03-09,427,1276
2014-04-09,508,1344
2014-05-09,434,1330
2014-06-09,221,689
2014-07-09,200,584
2014-08-09,477,1264
2014-09-09,480,1309
2014-10-09,480,1733
2014-11-09,462,1432
2014-12-09,447,1568
2014-13-09,244,544
2014-14-09,229,861
2014-15-09,546,1613
2014-16-09,614,2026
2014-17-09,528,1662
2014-18-09,526,1447
2014-19-09,444,1267
2014-20-09,236,616
2014-21-09,319,923
2014-22-09,726,2448
2014-23-09,657,1935
2014-24-09,611,2072
2014-25-09,619,2021
2014-26-09,1149,4897
2014-27-09,669,2902
2014-28-09,5042,11315
2014-29-09,4970,11994
2014-30-09,1760,4302
2014-01-10,1212,3670
2014-02-10,837,2533
2014-03-10,652,1814
2014-04-10,404,1168
2014-05-10,388,1077
2014-06-10,668,1961
